#rivername	start_global_id	end_global_id
Oti river2014	1725046	1773412
Oti river2019	1727272	1773412
Oti river2022	1727273	1773412
Notwane river2024	2145105	2154430
Ogun River2031	1731833	1765090
Ofki River2035	1735208	1765090
Opeki River2036	1752132	1765090
Subin river2114	1760765	1782719
Offin1	1760765	1782719
Offin2	1758616	1782719
Offin5	1761838	1782719
Samaru stream2510	1703144	1781717
Senegal39185	1638011	1639188
Senegal39186	1706085	1639188
NULL39222	1934138	1924479
NULL42635	1274602	1278251
NULL42640	1281888	1278251
NULL42641	1301591	1261395
NULL42642	1306950	1301546
Volta42694	1693988	1773412
Niger42714	1683793	1781717
Niger42715	1727143	1781717
Niger42722	1736205	1781717
NULL360205	2223720	2228570
NULL360208	2223724	2228570
NULL360236	2158339	2158371
NULL360237	2169869	2193513
NULL360239	2168906	2193513
NULL360241	2140957	2154430
NULL360243	2140957	2154430
NULL360245	2149279	2154430
NULL360247	2139903	2154430
NULL360253	2166015	2193513
NULL360254	2169879	2193513
NULL360256	2189905	2193513
NULL360259	2190845	2193513
NULL360262	2166011	2193513
NULL360264	2166977	2193513
NULL360266	2170824	2193513
NULL360269	2166980	2193513
NULL360279	2166972	2193513
NULL360280	2167933	2193513
NULL360281	2168892	2193513
NULL360285	2127131	2154430
NULL360287	2168893	2193513
NULL360290	2165053	2154430
NULL360294	2165053	2154430
NULL360295	2165053	2154430
NULL360302	2163133	2154430
NULL360304	2162171	2154430
NULL360305	2163134	2154430
NULL360308	2161214	2154430
NULL360309	2155367	2154430
NULL360310	2159287	2154430
NULL360312	2159286	2154430
NULL360315	2197357	2193513
NULL360316	2157340	2154430
NULL360319	2165045	2154430
NULL360321	2164089	2154430
NULL360326	2159286	2154430
NULL360328	2194594	2193513
NULL360329	2188973	2193513
NULL360332	2187063	2193513
NULL360333	2191771	2193513
NULL360334	2157341	2154430
NULL360337	2232294	2235124
NULL360340	2154391	2154430
NULL360349	2180412	2193513
NULL360351	2181365	2193513
NULL360352	2185183	2193513
NULL360354	2177548	2200150
NULL360356	2170828	2193513
NULL360357	2177535	2193513
NULL360359	2160256	2154430
NULL360361	2162176	2154430
NULL360366	2159289	2154430
NULL360383	2165047	2154430
NULL360384	2165048	2154430
NULL360405	2175600	2193513
NULL360414	2244151	2235694
NULL360420	2165045	2154430
NULL360421	2149276	2154430
NULL360423	2239729	2247467
NULL360427	2154391	2154430
NULL360429	2154391	2154430
NULL360434	2140971	2154430
NULL360436	2146208	2154430
NULL360437	2148276	2154430
NULL360438	2145163	2154430
NULL360441	2150334	2154430
NULL360442	2151355	2154430
NULL360443	2150336	2154430
NULL360444	2150335	2154430
NULL360447	2139910	2154430
NULL360448	2146196	2154430
NULL360450	2166033	2154430
NULL360452	2146196	2154430
NULL360453	2144105	2154430
NULL360455	2144112	2154430
NULL360457	2152367	2154430
NULL360458	2160276	2154430
NULL360459	2160276	2154430
NULL360462	2159310	2154430
NULL360464	2157360	2154430
NULL360468	2154387	2154430
NULL360483	2162208	2158371
NULL360484	2160293	2158371
NULL360493	2166997	2158371
NULL360496	2166997	2158371
NULL360497	2166997	2158371
NULL360498	2164136	2158371
NULL360499	2160298	2158371
NULL360502	2149311	2158371
NULL360503	2149311	2158371
NULL360505	2149311	2158371
NULL360506	2148280	2158371
NULL360507	2149311	2158371
NULL360510	2153388	2158371
NULL360514	2167930	2193513
NULL360543	2165046	2154430
NULL360562	2167959	2193513
NULL360563	2176587	2193513
NULL360568	2180431	2167992
NULL360570	2187090	2200150
NULL360573	2178510	2167992
NULL360576	2180424	2167992
NULL360577	2188981	2200150
NULL360586	2167957	2193513
NULL360590	2236487	2241103
NULL360597	2160254	2154430
NULL360601	2159288	2154430
NULL360615	2156365	2154430
NULL360616	2160253	2154430
NULL360618	2244213	2244828
NULL360627	2168893	2193513
NULL360631	2169849	2193513
NULL360634	2175626	2193513
NULL360635	2178495	2193513
NULL360640	2220357	2225394
NULL360657	2138850	2154430
NULL360668	2222854	2241103
NULL360669	2239162	2241103
NULL360676	2222878	2230850
NULL360678	2224549	2230850
NULL360680	2218637	2225394
NULL360681	2219486	2225394
NULL360682	2214316	2225394
NULL360683	2214316	2225394
NULL360684	2188032	2200150
NULL360685	2191816	2195562
NULL360686	2183291	2191832
NULL360699	2166017	2193513
NULL360715	2167940	2193513
NULL360726	2160285	2158371
NULL360729	2159324	2158371
NULL360734	2169869	2193513
NULL360757	2172728	2193513
NULL360760	2171769	2193513
NULL360769	2171768	2193513
NULL360770	2168920	2193513
NULL360771	2167959	2193513
NULL360773	2169878	2193513
NULL360777	2168913	2193513
NULL360778	2168913	2193513
NULL360781	2170828	2193513
NULL360792	2168909	2193513
NULL360810	2167932	2193513
NULL360845	2199183	2193513
NULL360847	2201003	2193513
NULL360853	2170799	2193513
NULL360860	2192764	2195562
NULL360861	2130362	2154430
NULL360870	2161225	2154430
NULL360871	2162184	2154430
NULL360874	2160244	2154430
NULL360880	2157338	2154430
NULL360886	2230092	2235124
NULL360889	2230839	2235124
NULL360890	2135675	2154430
NULL360893	2181402	2190894
NULL360896	2230092	2235124
NULL360901	2124947	2154430
NULL360902	2124948	2154430
NULL360903	2238417	2225258
NULL360905	2126044	2154430
NULL360908	2166033	2154430
NULL360912	2234414	2235124
NULL360916	2233716	2235124
NULL360920	2222881	2230850
NULL360921	2226195	2230850
NULL360922	2222881	2230850
NULL360924	2214316	2225394
NULL360925	2214316	2225394
NULL360929	2164112	2154430
NULL360932	2222876	2230850
NULL360933	2165068	2154430
NULL360934	2164108	2154430
NULL360936	2168910	2154430
NULL360938	2167949	2154430
NULL360944	2127139	2154430
NULL360947	2123847	2154430
NULL360949	2124943	2154430
NULL360950	2126042	2154430
NULL360952	2124944	2154430
NULL360954	2119431	2154430
NULL360959	2163146	2154430
NULL360963	2165070	2154430
NULL360970	2166021	2154430
NULL360976	2160257	2154430
NULL360999	2135672	2154430
NULL361000	2135675	2154430
NULL361005	2214334	2216074
NULL361006	2213466	2216074
NULL361018	2168895	2193513
NULL361020	2184232	2200150
NULL361025	2200995	2193513
NULL361051	2223697	2235124
NULL361091	2173669	2193513
NULL361108	2227764	2235124
NULL361110	2229323	2235124
NULL361116	2193695	2195562
NULL361126	2226944	2242985
NULL361144	2233715	2235124
NULL361147	2231569	2235124
NULL361149	2222854	2241103
NULL361150	2233003	2241103
NULL361152	2232293	2241103
NULL361156	2232985	2241103
NULL361159	2226159	2241103
NULL361167	2123847	2154430
NULL361172	2134613	2154430
NULL361174	2122744	2154430
NULL361180	2137792	2154430
NULL361184	2137790	2154430
NULL361188	2138853	2154430
NULL361193	2143045	2154430
NULL361194	2137781	2154430
NULL361195	2123817	2154430
NULL361196	2148247	2154430
NULL361198	2126045	2154430
NULL361205	2222048	2225394
NULL361214	2229981	2225258
NULL361215	2138863	2154430
NULL361225	2233710	2241103
NULL361237	2242337	2244828
NULL361239	2243590	2244828
NULL361241	2221188	2235124
NULL361258	2166984	2193513
NULL361278	2244211	2244828
NULL361283	2177534	2193513
NULL361298	2194566	2193513
NULL361305	2166027	2154430
NULL361311	2118307	2154430
NULL361319	2226944	2242985
NULL361336	2127129	2154430
NULL361365	2163153	2154430
NULL361396	2163120	2193513
NULL361399	2166972	2193513
NULL361406	2172717	2193513
NULL361411	2168902	2193513
NULL361413	2165047	2154430
NULL361417	2166010	2193513
NULL361418	2166011	2193513
NULL361420	2166012	2193513
NULL361427	2168890	2193513
NULL361432	2172720	2193513
NULL361441	2168887	2193513
NULL361442	2166009	2193513
NULL361445	2179444	2193513
NULL361446	2183273	2193513
NULL361447	2194594	2193513
NULL361448	2187072	2193513
NULL361450	2190853	2193513
